City,Temperature (F),Humidity (%),Clouds(% Cloudy),Windspeed (mph),Latitude,Longitude
praia da vitoria,59.43,88,75,16.26,38.7333,-27.0667
bengkulu,76.46,85,100,6.29,-3.8004,102.2655
polyarnyy,14,92,40,6.71,69.1989,33.4478
verkhoyansk,-31.95,82,0,1.92,67.5447,133.385
calabozo,95.94,33,18,8.32,8.9242,-67.4293
upata,86,67,100,4,8.0086,-62.3989
talnakh,-22.27,73,0,3.36,69.4865,88.3972
biak,77.61,80,100,2.98,-0.9131,122.8766
olafsvik,33.75,85,1,14.58,64.8945,-23.7142
tutoia,87.8,62,20,17.27,-2.7619,-42.2744
fortuna,45.95,87,90,5.75,40.5982,-124.1573
namatanai,80.31,80,85,4.99,-3.6667,152.4333
moindou,69.8,100,0,2.3,-21.6924,165.677
la palma,53.01,93,40,1.88,33.8464,-118.0467
razdolinsk,23.4,98,77,6.82,58.4211,94.6658
souillac,80.6,74,20,10.36,-20.5167,57.5167
asau,28.99,75,100,2.15,46.4333,26.4
parrita,80.4,53,20,19.57,9.5201,-84.3225
de aar,83.17,23,0,11.92,-30.6497,24.0123
karratha,78.58,70,13,10.65,-20.7377,116.8463
talaya,-7.08,88,100,9.71,61.3833,152.75
hosdurga,67.8,38,30,7.49,13.7981,76.2861
beidao,38.77,60,1,4.09,34.5686,105.8933
san joaquin,51.93,76,1,3.44,37.9333,-121.3011
dakar,71.6,56,0,16.11,14.6937,-17.4441
cedar city,46.4,21,1,4.61,37.6775,-113.0619
kabwe,68,95,98,7,-14.4469,28.4464
san patricio,67.44,55,1,13.8,28.017,-97.5169
tacuarembo,87.44,33,0,2.28,-31.7333,-55.9833
wewak,78.87,81,98,6.76,-3.5534,143.6268
port lincoln,58.98,81,15,16.13,-34.7333,135.8667
the valley,82.22,65,20,18.41,18.217,-63.0578
muli,81.5,74,54,17,2.9167,73.5667
batagay-alyta,-33.66,80,0,2.37,67.8006,130.4114
shurugwi,65.82,95,100,7.4,-19.6702,30.0059
dryden,-22,57,1,13.8,49.7833,-92.7503
urumqi,12.2,92,100,2.24,43.801,87.6005
bagdarin,-6.18,86,100,0.85,54.4333,113.6
surovikino,16.23,76,6,12.03,48.6078,42.8486
tongren,49.05,81,100,8.39,27.7172,109.1853
cururupu,87.28,60,43,7.14,-1.8283,-44.8683
acurenam,70.72,94,90,3.94,1.0322,10.6488
conakry,86,66,75,9.22,9.538,-13.6773
makakilo city,58.66,77,20,4.61,21.3469,-158.0858
zelezniki,47.16,93,90,9.22,46.2333,14.1667
ventspils,19.4,86,40,4.61,57.3894,21.5606
touros,89.6,55,20,16.11,-5.1989,-35.4608
sao filipe,70.9,71,79,10.58,14.8961,-24.4956
romans-sur-isere,39.42,87,0,4.61,45.0464,5.0562
hongjiang,54.3,90,100,4.72,27.11,109.9956
port hardy,36.3,93,75,10.36,50.6996,-127.4199
merauke,79.57,85,94,11.99,-8.4667,140.3333
kieta,79.56,79,98,4,-6.2167,155.6333
myitkyina,58.6,57,0,2.42,25.3833,97.4
egvekinot,-8.99,79,0,14.99,66.3167,-179.1667
vila,45,95,100,13,42.0304,-8.1588
camalu,66,28,16,1.99,30.85,-116.0667
miyang,50.72,89,100,2.62,24.4042,103.4428
siocon,78.08,85,100,8.79,7.7061,122.1353
saqqez,39.27,77,14,4.09,36.2499,46.2735
sinnamary,78.44,86,80,14.56,5.3833,-52.95
yakeshi,-22.34,86,34,2.89,49.2833,120.7333
huadian,-3.17,91,26,5.37,42.9633,126.7478
vidim,16.65,94,100,7.29,56.4088,103.1106
mayskiy,17.6,67,0,4.47,47.6931,40.1025
capreol,12.13,47,20,11.5,46.706,-80.9225
cap malheureux,80.01,80,68,5.01,-19.9842,57.6142
wattegama,73.18,90,0,6.44,6.7989,81.4808
banda aceh,78.49,83,16,8.66,5.5577,95.3222
dourados,79.93,52,0,4.52,-22.2211,-54.8056
sulangan,80.19,83,100,14.76,11.1373,123.7228
alappuzha,78.28,73,1,3.49,9.49,76.3264
sabzevar,53.91,40,38,2.06,36.2126,57.6819
samarai,81.88,78,55,5.64,-10.6167,150.6667
luganville,77.43,72,21,6.51,-15.5333,167.1667
dunedin,57.99,91,56,4,-45.8742,170.5036
nantucket,34.34,100,90,11.5,41.2835,-70.0995
tura,59.63,41,28,2.62,25.5198,90.2201
port pirie,62.6,77,0,11.5,-33.1833,138.0167
waitara,57,95,10,1.99,-38.925,174.25
linqiong,48.2,81,0,3.22,30.4159,103.4609
pszczyna,19,1,100,19.98,49.9804,18.9538
lasa,36.59,86,90,5.75,46.6166,10.7002
brawley,65.84,29,1,2.82,32.9787,-115.5303
college,-18.83,76,40,2.95,64.8569,-147.8028
lashio,52.84,98,1,1.83,22.9333,97.75
ugoofaaru,81.63,75,51,10.87,5.6667,73
arthur,7.29,66,1,5.75,39.7148,-88.4723
evensk,18.7,84,100,36.39,61.95,159.2333
chuy,76.33,60,1,8.97,-33.6971,-53.4616
cananeia,80.31,55,19,9.82,-25.0147,-47.9267
burnie,55.99,68,90,7.18,-41.0667,145.9167
kainantu,61.57,96,95,3.02,-6.2887,145.8655
pitimbu,87.8,62,75,11.5,-7.4706,-34.8086
palmer,29.08,86,90,5.75,42.1584,-72.3287
wellington,61.36,88,75,19.57,-41.2866,174.7756
dayong,62.6,94,0,4.47,25.0209,118.2898
itoman,61.81,72,20,5.75,26.1247,127.6694
hirara,68.59,72,96,11.03,24.8,125.2833
pringsewu,73.71,93,100,3.4,-5.3582,104.9744
monrovia,87.8,70,20,11.5,6.3005,-10.7969
bukoba,73.4,78,75,5.97,-1.3317,31.8122
westport,29.1,93,90,12.66,41.1415,-73.3579
diffa,72.66,19,3,8.43,13.3154,12.6113
stornoway,35.37,60,75,14.97,58.2093,-6.3865
mar del plata,61.32,100,90,12.66,-38.0023,-57.5575
fasa,57.2,62,75,9.22,28.9383,53.6482
songea,71.6,94,75,11.5,-10.6833,35.65
vestmanna,35.6,75,40,13.8,62.1564,-7.1664
talara,89.6,48,0,16.11,-4.5772,-81.2719
necochea,59,93,88,5.99,-38.5473,-58.7368
tuy hoa,71.17,86,85,7.02,13.0833,109.3
andrews,66.2,11,1,17.27,32.3187,-102.5457
yeniseysk,33.31,92,77,8.3,58.4497,92.1703
waddan,74.35,17,76,9.57,29.1614,16.139
vanderhoof,-4.14,87,100,2.21,54.0166,-124.0198
superior,-9.63,45,1,9.22,46.7208,-92.1041
ilebo,74.98,80,73,0.94,-4.3167,20.5833
yeysk,25.75,84,100,6.42,46.6989,38.2792
ayan,-5.21,79,100,22.03,56.45,138.1667
puerto penasco,61,71,0,4,31.3167,-113.5333
tilichiki,11.14,97,100,16.22,60.4667,166.1
tsiroanomandidy,70.32,91,99,4.07,-18.7667,46.0333
inhambane,82.18,74,40,6.91,-23.865,35.3833
pemangkat,75.42,89,100,8.08,1.1667,108.9667
north bend,43.99,93,90,5.59,43.4065,-124.2243
guarapuava,81.21,20,0,4.09,-25.3953,-51.4581
ottumwa,-1.77,55,90,6.91,41.02,-92.4113
ivanovka,37.4,93,100,6.71,42.8878,75.085
rudbar,62.8,24,0,4.07,30.15,62.6
matara,76.17,85,21,3.83,5.9485,80.5353
moree,66.2,82,0,4.61,-29.4667,149.85
lagoa,57.85,74,100,20.69,39.05,-27.9833
riohacha,86.63,55,100,15.14,11.5444,-72.9072
calvinia,69.51,40,22,7.63,-31.4707,19.776
longyan,57.92,73,0,1.36,25.1072,117.0225
niteroi,76.82,83,75,8.05,-22.8833,-43.1036
ngunguru,59,92,78,3,-35.6167,174.5
eregli,51.13,46,24,1.01,37.5133,34.0467
kaeo,57.99,92,64,1.99,-35.1,173.7833
mujiayingzi,4.42,86,0,6.42,42.1167,118.7833
yendi,95.4,12,75,6.64,9.4427,-0.0099
kathmandu,44.6,81,20,3.44,27.7167,85.3167
paramonga,77.27,61,95,9.44,-10.6667,-77.8333
smithers,6.8,85,75,2.3,54.7804,-127.1743
kozmodemyansk,-0.4,78,40,15.66,56.3367,46.5711
palu,76.26,81,94,1.68,-0.8917,119.8707
mizan teferi,68.16,31,48,1.41,6.9833,35.5833
virginia beach,38.5,91,100,3,36.8529,-75.978
tucuman,90.18,40,1,3.29,-26.8241,-65.2226
nanortalik,32.61,87,100,15.08,60.1432,-45.2371
libreville,80.6,89,20,2.3,0.3925,9.4537
pahrump,46.99,34,1,5.75,36.2083,-115.9839
porto torres,55.4,82,75,2.3,40.835,8.3972
stryn,6.03,73,0,9.22,61.9045,6.7226
champerico,89.6,48,20,6.91,14.3,-91.9167
la ronge,-36.4,61,16,9.22,55.1001,-105.2842
kailua,62.94,82,1,3.22,21.4022,-157.7394
edd,73.99,73,10,6.13,13.9297,41.6925
hauterive,41.36,61,40,9.22,46.0901,3.4459
vestmannaeyjar,35.6,80,40,25.32,63.4427,-20.2734
te anau,54.75,80,99,2.73,-45.4167,167.7167
iquique,78.8,44,0,19.57,-20.2208,-70.1431
camocim,85.68,67,29,15.46,-2.9022,-40.8411
bonthe,82.56,74,41,12.62,7.5264,-12.505
balikpapan,76.6,89,99,2.66,-1.2675,116.8289
petauke,69.06,96,82,4.97,-14.2426,31.3253
yerbogachen,17.35,97,100,5.95,61.2767,108.0108
at-bashi,23.81,85,95,2.33,41.1702,75.8106
koungheul,92.21,11,39,12.12,13.9833,-14.8
teya,28.72,95,94,11.32,60.3778,92.6267
tessalit,71.37,22,98,10.16,20.1986,1.0114
jiutai,-13,70,0,2.24,44.1525,125.8328
llangefni,36.34,64,90,14.97,53.2556,-4.3106
nuuk,33.39,40,1,8.05,64.1835,-51.7216
kismayo,77.54,81,6,17.47,-0.3582,42.5454
aklavik,-13,70,90,12.66,68.2191,-135.0107
ostrovnoy,9.46,94,100,7.9,68.0531,39.5131
tharad,63.23,29,0,7.38,24.3961,71.6267
katima mulilo,72.72,84,86,3.83,-17.5,24.2667
voloka,24.51,95,100,15.77,48.1922,25.9307
pundaguitan,79.92,82,100,10.54,6.3711,126.1689
krasnoarmeysk,3,54,92,5.99,51.0239,45.6969
saint-georges,84.2,65,20,23.02,12.0564,-61.7485
road town,81.63,61,40,13.8,18.4167,-64.6167
anan,44.6,76,20,4.61,33.9167,134.65
itarema,87.76,58,0,15.03,-2.9248,-39.9167
nyrob,-19.59,87,100,7.34,60.733,56.7202
moerai,81.05,72,39,8.46,-22.4333,-151.3333
ust-karsk,-15.7,84,0,3.18,52.7011,118.8077
gawler,56.34,74,0,11.99,-34.6,138.7333
belmonte,81.77,89,75,9.22,-15.8631,-38.8828
saint anthony,-8.93,59,1,9.22,45.0205,-93.218
bunia,70.39,34,62,0.63,1.5667,30.25
zaragoza,49.77,71,75,5.75,41.6561,-0.8773
bubaque,78.46,61,0,16.24,11.2833,-15.8333
porto novo,87.8,74,20,16.11,6.4965,2.6036
montgomery,35.42,100,90,6.91,39.1501,-77.1997
socorro,59.31,17,1,12.66,31.6546,-106.3033
rocha,80.15,55,20,9.48,-34.4833,-54.3333
tabou,81.55,82,58,7.78,4.423,-7.3528
mount hagen,59.81,91,100,1.23,-5.8581,144.2274
valerianovsk,-4.88,87,100,10.71,58.76,59.5522
najran,69.8,35,31,4.61,17.4924,44.1277
hobyo,78.28,77,11,19.01,5.3505,48.5268
seddon,58.71,63,90,10.36,-37.8068,144.8916
chandler,61.86,29,1,3.44,33.3062,-111.8412
sao paulo de olivenca,83.79,88,84,2.89,-3.3783,-68.8725
bonnybridge,32.99,76,100,8.01,56.0015,-3.8886
bridgetown,82.4,61,75,26.46,13.1,-59.6167
provideniya,-3.91,77,33,16.49,64.3833,-173.3
nizhniy baskunchak,16.79,75,2,16.35,48.2198,46.8311
nome,-3.93,84,1,4.43,64.5011,-165.4064
tolbazy,-5.42,77,90,13.42,54.0241,55.8825
taoudenni,69.67,22,0,8.93,22.6783,-3.9836
deputatskiy,-30.06,86,0,1.23,69.3,139.9
ritchie,82.4,54,0,3.44,-29.038,24.6028
bilma,68.68,21,75,5.28,18.6853,12.9164
lundamo,14.65,92,40,5.75,63.1333,10.3
sept-iles,21.79,58,0,6.91,50.2001,-66.3821
malyn,10.4,79,100,8.95,50.7723,29.2383
tiarei,78.39,73,75,3.44,-17.5333,-149.3333
fort nelson,-36.4,74,40,2.3,58.8053,-122.7002
chulym,13.44,94,100,16.8,55.0997,80.9572
chernyshevskiy,-0.11,95,100,4.09,63.0128,112.4714
zeya,-14.76,82,22,3.33,53.75,127.2667
mana,79.5,86,92,14.7,5.6592,-53.7767
pingxiang,54.32,89,94,3.29,27.6167,113.85
watertown,32.05,93,90,4.21,42.3709,-71.1828
san felipe,84.31,59,88,6.31,10.3399,-68.7425
isla mujeres,83.57,74,75,13.8,21.2311,-86.731
kaka,54.36,57,5,2.44,37.3482,59.6143
alekseyevsk,22.06,96,100,11.5,57.8406,108.3492
huoqiu,44.69,65,100,13.29,32.3394,116.2694
kilindoni,82.9,79,84,14.83,-7.9139,39.6668
romny,4.37,93,100,2.57,50.751,33.4747
contamana,92.25,49,81,4.56,-7.3333,-75.0167
tumarbong,77.63,84,99,7.16,10.3766,119.4579
okha,8.37,94,100,25.77,53.5739,142.9478
walvis bay,66.61,73,24,8.05,-22.9575,14.5053
primorsk,27.59,79,95,9.53,46.7348,36.3443
hjelset,24.8,58,0,16.11,62.7833,7.4833
grand-santi,80.22,85,100,5.3,4.25,-54.3833
sao jose da coroa grande,83.71,68,68,12.91,-8.8978,-35.1478
micheweni,81.34,80,70,13.35,-4.9667,39.8333
luau,68.99,96,99,4.34,-10.7073,22.2247
dickinson,56.53,58,1,9.22,29.4608,-95.0513
gamba,78.94,85,100,6.29,-2.65,10
saint-joseph,78.75,78,32,4.61,-21.3667,55.6167
vangaindrano,78.89,89,100,11.36,-23.35,47.6
narrabri,66.99,73,3,12.66,-30.3167,149.7833
zhezkazgan,22.15,97,100,14.32,47.8043,67.7144
roma,26.24,80,90,7.63,43.2128,-75.4557
manavgat,57.11,100,72,0.78,36.7867,31.4431
vanimo,77.5,86,100,1.79,-2.6741,141.3028
juegang,45,78,93,1.99,32.3174,121.1855
geraldton,69.8,78,40,9.22,-28.7667,114.6
manzanillo,86.11,50,7,7.76,20.3433,-77.1167
alta floresta,87.8,66,40,8.05,-9.8756,-56.0861
frutal,81.34,55,42,3.78,-20.0247,-48.9406
ipixuna,80.6,83,75,12.66,-1.7625,-48.8043
saint-francois,40.53,81,75,4.61,46.4154,3.9054
kloulklubed,77,94,90,5.75,7.0419,134.2556
komsomolskiy,44.82,84,100,2.73,40.4272,71.7189
aksarka,-15,88,100,29.39,66.5606,67.7975
santa helena de goias,80.4,67,52,6.89,-17.8136,-50.5969
constantine,50,76,40,10.36,36.365,6.6147
ixtapa,77,57,1,5.46,20.7,-105.2
umm kaddadah,68.5,23,14,13.18,13.6017,26.6876
bairiki,80.6,89,75,9.22,1.3292,172.9752
flin flon,-34.6,61,1,12.66,54.7682,-101.865
wanning,68.63,90,22,4.12,18.8003,110.3967
anloga,86,74,20,14.97,5.7947,0.8973
sawtell,71.6,78,75,12.66,-30.3833,153.1
tazovskiy,-12.86,90,100,19.15,67.4667,78.7
andenes,32,69,99,23.02,69.3143,16.1194
senovo,48.81,93,100,5.75,46.0236,15.4769
obo,74.14,20,77,4.65,5.3998,26.4869
panaba,81.88,67,94,4.16,21.2833,-88.2667
